#oracle 0.8750
#logprob -0.754185
1	No	no	UH	_	_	4	DEP	0	_	0.000000	-1.000000	-1.000000
2	,	,	,	_	_	4	P	0	_	0.000000	-1.000000	-1.000000
3	it	it	PRP	_	_	4	SBJ	0	_	0.000000	-1.000000	-1.000000
4	was	be	VBD	_	_	0	ROOT	0	_	0.000000	-1.000000	-1.000000
5	n't	not	RB	_	_	4	ADV	0	_	0.000000	-1.000000	-1.000000
6	Black	black	NNP	_	_	7	NAME	0	_	0.000000	-1.000000	-1.000000
7	Monday	monday	NNP	_	_	4	TMP	0	_	0.000000	-1.000000	-1.000000
8	.	.	.	_	_	4	P	0	_	0.000000	-1.000000	-1.000000
#las 0.7500

#logprob -5.152700
1	No	no	UH	_	_	4	ADV	0	_	0.000000	-1.000000	-1.000000
2	,	,	,	_	_	4	P	0	_	0.000000	-1.000000	-1.000000
3	it	it	PRP	_	_	4	SBJ	0	_	0.000000	-1.000000	-1.000000
4	was	be	VBD	_	_	0	ROOT	0	_	0.000000	-1.000000	-1.000000
5	n't	not	RB	_	_	4	ADV	0	_	0.000000	-1.000000	-1.000000
6	Black	black	NNP	_	_	7	NAME	0	_	0.000000	-1.000000	-1.000000
7	Monday	monday	NNP	_	_	4	TMP	0	_	0.000000	-1.000000	-1.000000
8	.	.	.	_	_	4	P	0	_	0.000000	-1.000000	-1.000000
#las 0.8750

#logprob -5.424790
1	No	no	RB	_	_	4	ADV	0	_	0.000000	-1.000000	-1.000000
2	,	,	,	_	_	4	P	0	_	0.000000	-1.000000	-1.000000
3	it	it	PRP	_	_	4	SBJ	0	_	0.000000	-1.000000	-1.000000
4	was	be	VBD	_	_	0	ROOT	0	_	0.000000	-1.000000	-1.000000
5	n't	not	RB	_	_	4	ADV	0	_	0.000000	-1.000000	-1.000000
6	Black	black	NNP	_	_	7	NAME	0	_	0.000000	-1.000000	-1.000000
7	Monday	monday	NNP	_	_	4	TMP	0	_	0.000000	-1.000000	-1.000000
8	.	.	.	_	_	4	P	0	_	0.000000	-1.000000	-1.000000
#las 0.8750

#logprob -6.251880
1	No	no	RB	_	_	4	ADV	0	_	0.000000	-1.000000	-1.000000
2	,	,	,	_	_	4	P	0	_	0.000000	-1.000000	-1.000000
3	it	it	PRP	_	_	4	SBJ	0	_	0.000000	-1.000000	-1.000000
4	was	be	VBD	_	_	0	ROOT	0	_	0.000000	-1.000000	-1.000000
5	n't	not	RB	_	_	4	ADV	0	_	0.000000	-1.000000	-1.000000
